CNPJ_FUNDO,CNPJ_ADMINISTRADOR,DATA_COMPETENCIA,TIPO_CONDOMINIO,FUNDO_EXCLUSIVO,CLASSE_UNICA,COTISTA_VINCULADO,ATIVO_TOTAL,DISPONIBILIDADES,CARTEIRA_TOTAL,OUTROS_ATIVOS_TOTAL,OUTROS_ATIVOS_CURTO_PRAZO,OUTROS_ATIVOS_LONGO_PRAZO,PASSIVO_CIRCULANTE,PASSIVO_EXIGIVEL_LONGO_PRAZO,PATRIMONIO_LIQUIDO,CREDITOS_ADQUIRIDOS,CRED_VENCIDOS_ADIMPLENTES,CRED_VENCIDOS_INADIMPLENTES,CRED_TOTAL_VENC_INADIMPL,CRED_INADIMPLENCIA,CRED_PERFORMADOS,CRED_VENCIDOS_PENDENTES,CRED_EMP_RECUPERACAO,CRED_RECEITA_PUBLICA,CRED_ACAO_JUDICIAL,CRED_CONSTITUICAO_JURIDICA,CRED_PROVISAO_REDUCAO,AGING_A_VENCER,AGING_VENC_1_30_DIAS,AGING_VENC_31_60_DIAS,AGING_VENC_61_90_DIAS,AGING_VENC_91_120_DIAS,AGING_VENC_121_150_DIAS,AGING_VENC_151_180_DIAS,AGING_VENC_181_360_DIAS,AGING_VENC_361_720_DIAS,AGING_VENC_721_1080_DIAS,AGING_VENC_MAIOR_1080_DIAS,DICRED_TOTAL,DICRED_CEDENTE,DICRED_VENC_INADIMPL,DICRED_TOTAL_VENC_INAD,DICRED_INADIMPLENCIA,DICRED_PERFORMADOS,DICRED_VENC_PENDENTES,DICRED_EMP_RECUPERACAO,DICRED_RECEITA_PUBLICA,DICRED_ACAO_JUDICIAL,DICRED_PROVISAO_REDUCAO,SUBORD_CAPTACOES,SUBORD_AMORTIZACOES,SUBORD_RESGATES,VALORES_MOBILIARIOS_TOTAL,DEBENTURES,CRI,NOTAS_PROMISSORIAS_COMERCIAIS,LETRAS_FINANCEIRAS,COTAS_FIF,OUTROS_DIREITOS_CREDITORIOS,TITULOS_PUBLICOS_FEDERAIS,CDB,APLICACOES_COMPROMISSADAS,ATIVOS_FINANCEIROS_RF,COTAS_FIDC,CEDENTES_CONCENTRADOS_JSON,QTD_CEDENTES_CONCENTRADOS,INADIMPLENCIA_TOTAL,NPL_RATIO,NPL_RATIO_CREDITO_PURO,LIQUIDEZ_IMEDIATA_RATIO,ZUMBI_RATIO,INDICE_NPL_PERCENTUAL,TAXA_LIQUIDEZ_PERCENTUAL,CONCENTRACAO_CREDITO_PERCENTUAL,NPL_OUTLIER_FLAG,FLAG_CRED_ADQ_BAIXO,FLAG_VENCIDOS_ALTO,FLAG_NPL_IMPLAUSIVEL,FLAG_CARTEIRA_ZERADA,ANOMALIA_ESTRUTURAL,STATUS_DADOS,SCORE_SAFARI,CLASSIFICACAO_SAFARI,NOME_FUNDO,STATUS,ID_DOCUMENTO,DATA_REFERENCIA_DOC,MENSAGEM_ERRO,TIPO_COLETA,CLASSE_SELECIONADA,PRIORIDADE_CLASSE
10237131000140.0,62285390000140.0,,0.0,0.0,0.0,0.0,148291847.59,311.53,148284453.9,7082.16,7082.16,0.0,11138770.36,9703.2,137143374.03,148280756.27,148280756.27,0.0,0.0,0.0,0.0,0.0,0.0,148280756.27,0.0,0.0,0.0,148280756.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148280756.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148280756.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3697.63,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.796807815687835e-05,99.99750639402666,0.0,0.00021007897943339663,99.995014095434,False,False,False,False,False,False,VALIDADO,60.0,OPORTUNIDADE_MODERADA,IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,SUCESSO,816208,12/2024,,ROLLING_60_MESES,Outros,4.0
10842374000108.0,62285390000140.0,,0.0,0.0,0.0,0.0,115900375.12,796437.94,111860254.64,3243682.54,3243681.56,0.98,1403905.93,0.0,114496469.19,85690.29,85788.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.42,85788.71,85788.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95581569.44,68977334.31,24590487.99,3974169.9,2661303.06,0.0,2675318.21,0.0,0.0,0.0,647555.92,0.0,0.0,0.0,3503379.43,0.0,0.0,0.0,0.0,0.0,0.0,336484.02,6068893.37,6284238.09,0.0,0.0,,0.0,2661303.06,0.0,0.0,0.5673015000371143,0.0,2.3791319522424432,0.6871746007511973,96.5141437412804,False,True,False,False,False,True,ESTRUTURA_ATIPICA,0.0,DADOS_INVALIDOS,MÚLTIPLO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL,SUCESSO,816311,12/2024,,ROLLING_60_MESES,Outros,4.0
10996108000130.0,62285390000140.0,,0.0,0.0,0.0,0.0,130086721.1,100.0,129957526.56,129094.54,129094.42,0.12,43968.17,0.0,130042752.93,49012194.13,44659905.05,0.0,0.0,6581414.0,0.0,0.0,0.0,0.0,0.0,0.0,2229124.92,44659905.05,142658.41,143352.5,138402.99,138327.95,135491.23,135080.03,835588.88,541352.61,41125654.16,1323996.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70061220.38,11422147.45,0.0,0.0,2135950.77,0.0,0.0,8844089.01,0.0,0.0,0.0,2040023.04,,0.0,6581414.0,0.0,0.0,0.0022743725745237977,1.0187915429343948,5.064280749419643,7.687179687089523e-05,99.90068583564292,False,False,False,False,False,False,VALIDADO,35.45,MONITORAR,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - RECUPERARE,SUCESSO,816124,12/2024,,ROLLING_60_MESES,Outros,4.0
11375619000105.0,42066258000130.0,,0.0,0.0,0.0,0.0,1068415102.3,2610.31,1068412491.99,0.0,0.0,0.0,9992548.12,0.0,1058422554.18,1043390000.0,2101812554.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058422554.18,2101812554.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101812554.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24984593.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37898.09,0.0,0.0,,0.0,0.0,0.0,0.0,0.00026122566222878496,196.72294829361397,0.0,0.00024431608972774066,99.99975568391028,False,False,False,False,False,False,VALIDADO,59.99,OPORTUNIDADE_MODERADA,CJP FIDC-NP CRÉDITOS JUDICIAIS E PRECATÓRIOS,SUCESSO,816849,12/2024,,ROLLING_60_MESES,Outros,4.0
11468192000181.0,33886862000112.0,,0.0,0.0,0.0,0.0,257768069.04,195262.99,255908666.5,1664139.55,1664139.55,0.0,148969.21,0.0,257619099.83,168404876.02,178273603.89,7860802.91,2811644.11,20691250.51,0.0,6056729.28,0.0,0.0,0.0,0.0,38420781.29,183322762.69,101112098.29,34924904.04,10868574.25,3869927.31,2715443.74,1830136.36,9452080.04,12888009.87,5031478.23,630110.56,66544296.09,57891955.62,2105451.92,370627.04,16568234.53,0.0,5171094.42,0.0,0.0,0.0,10021345.98,0.0,0.0,0.0,20684405.39,0.0,0.0,0.0,0.0,0.0,0.0,275089.0,0.0,0.0,0.0,0.0,,0.0,20691250.51,1.0986904618957092,1.6695740506148318,1.3107607269985522,0.24622478348149263,8.085404372188389,0.0757514267485549,99.27865288089214,False,False,False,False,False,False,VALIDADO,10.12,SEM_OPORTUNIDADE,DEL CRED NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,SUCESSO,815592,12/2024,,ROLLING_60_MESES,Outros,4.0
11489344000122.0,3317692000194.0,,0.0,0.0,0.0,0.0,955948175.01,121121.23,933038106.52,22788947.26,22788947.26,0.0,11471878.66,0.0,944476296.35,281219651.09,263755326.63,0.0,0.0,32882152.46,0.0,0.0,0.0,0.0,0.0,0.0,15417828.0,263755326.63,79061074.2,29695671.86,8599500.29,7158357.59,6688675.75,3587514.28,23805376.68,39566593.29,32621683.95,32970878.74,533940950.54,520566127.74,0.0,0.0,15739425.55,0.0,0.0,0.0,0.0,0.0,2364602.75,0.0,0.0,0.0,6481034.45,0.0,0.0,0.0,0.0,0.0,0.0,2893625.97,108502844.47,0.0,0.0,0.0,,0.0,32882152.46,0.0,0.0,0.01055809894697753,3.533711914829843,3.5242025197279725,0.012670271586504465,97.6034194019189,False,False,False,False,False,False,VALIDADO,36.5,MONITORAR,RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA,SUCESSO,820801,12/2024,,ROLLING_60_MESES,Outros,4.0
11629795000118.0,62285390000140.0,,0.0,0.0,0.0,0.0,16238468.04,16148.46,16042130.85,180188.73,180188.73,0.0,243525.05,70.68,15994872.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13981828.15,7461327.99,5350707.07,2075343.19,11058904.07,0.0,1372411.27,0.0,0.0,0.0,9889110.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181961.54,0.0,1878341.16,0.0,0.0,,0.0,11058904.07,0.0,0.0,0.06631128912610838,0.0,68.93662801659545,0.09944571101301992,98.79091309896744,False,True,False,False,False,True,ESTRUTURA_ATIPICA,0.0,DADOS_INVALIDOS,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS EXODUS INSTITUCIONAL,SUCESSO,816123,12/2024,,ROLLING_60_MESES,Outros,4.0
12036226000121.0,59281253000123.0,,0.0,0.0,0.0,0.0,34372719.37,0.0,34372719.37,0.0,0.0,0.0,184259.53,0.0,34188459.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33722984.43,33722984.43,0.0,0.0,0.0,0.0,0.0,0.0,33046958.84,0.0,0.0,0.0,0.0,0.0,649734.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,True,False,False,False,True,ESTRUTURA_ATIPICA,0.0,DADOS_INVALIDOS,SG III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,SUCESSO,813542,12/2024,,ROLLING_60_MESES,Outros,4.0
12036247000147.0,59281253000123.0,,0.0,0.0,0.0,0.0,156858560.04,0.0,156858560.04,0.0,0.0,0.0,191129.51,0.0,156667430.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225335.33,0.0,0.0,0.0,142384.89,0.0,0.0,0.0,0.0,0.0,0.0,153633224.71,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,True,False,False,False,True,ESTRUTURA_ATIPICA,0.0,DADOS_INVALIDOS,SG III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP,SUCESSO,817286,12/2024,,ROLLING_60_MESES,Outros,4.0
12428086000137.0,62285390000140.0,,0.0,0.0,0.0,0.0,1684413920.23,5342114.53,1642445421.73,36626383.97,36626383.97,0.0,6158969.71,2.31,1678254948.21,29440228.77,22878390.85,626914706.98,180176056.37,633092.13,0.0,0.0,0.0,0.0,0.0,0.0,620985961.19,469617041.46,91007750.88,63484123.67,14502855.85,14227759.45,13456184.42,12265107.95,73814139.85,115886204.52,67630051.29,3342863.58,1427278909.04,662333166.72,1063380153.96,252181478.13,78665380.33,0.0,56548192.27,0.0,0.0,0.0,377099791.97,0.0,0.0,0.0,185420076.06,0.0,0.0,0.0,0.0,0.0,0.0,306207.86,0.0,0.0,0.0,0.0,,0.0,78665380.33,10.969987433751022,612.0063053096989,0.867371456840628,0.20352965984580096,4.789527815611746,0.3171497495859305,97.50842129740478,False,False,False,False,False,False,VALIDADO,13.42,SEM_OPORTUNIDADE,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,SUCESSO,815998,12/2024,,ROLLING_60_MESES,Outros,4.0
