CNPJ_FUNDO;CNPJ_ADMINISTRADOR;DATA_COMPETENCIA;TIPO_CONDOMINIO;FUNDO_EXCLUSIVO;CLASSE_UNICA;COTISTA_VINCULADO;ATIVO_TOTAL;DISPONIBILIDADES;CARTEIRA_TOTAL;OUTROS_ATIVOS_TOTAL;OUTROS_ATIVOS_CURTO_PRAZO;OUTROS_ATIVOS_LONGO_PRAZO;CREDITOS_ADQUIRIDOS;CRED_VENCIDOS_ADIMPLENTES;CRED_VENCIDOS_INADIMPLENTES;CRED_TOTAL_VENC_INADIMPL;CRED_INADIMPLENCIA;CRED_PERFORMADOS;CRED_VENCIDOS_PENDENTES;CRED_EMP_RECUPERACAO;CRED_RECEITA_PUBLICA;CRED_ACAO_JUDICIAL;CRED_CONSTITUICAO_JURIDICA;CRED_PROVISAO_REDUCAO;DICRED_TOTAL;DICRED_CEDENTE;DICRED_VENC_INADIMPL;DICRED_TOTAL_VENC_INAD;DICRED_INADIMPLENCIA;DICRED_PERFORMADOS;DICRED_VENC_PENDENTES;DICRED_EMP_RECUPERACAO;DICRED_RECEITA_PUBLICA;DICRED_ACAO_JUDICIAL;DICRED_PROVISAO_REDUCAO;VALORES_MOBILIARIOS_TOTAL;DEBENTURES;CRI;NOTAS_PROMISSORIAS_COMERCIAIS;LETRAS_FINANCEIRAS;COTAS_FIF;OUTROS_DIREITOS_CREDITORIOS;TITULOS_PUBLICOS_FEDERAIS;CDB;APLICACOES_COMPROMISSADAS;ATIVOS_FINANCEIROS_RF;COTAS_FIDC;DERIVATIVOS_TOTAL;TERMO_COMPRADOR;OPCOES_TITULAR;FUTUROS_AJUSTE_POSITIVO;SWAP_A_RECEBER;COBERTURA_PRESTADA;DEPOSITOS_MARGEM;CARTEIRA_SEGMENTADA_TOTAL;SEGMT_INDUSTRIAL;SEGMT_MERCADO_IMOBILIARIO;SEGMT_AGRONEGOCIO;SEGMT_CARTAO_CREDITO;SEGMT_ACAO_JUDICIAL;SEGMT_PROPRIEDADE_INTELECTUAL;SEGMT_COMERCIAL_TOTAL;SEGMT_COMERCIO;SEGMT_COMERCIO_VAREJO;SEGMT_ARREND_MERCANTIL;SEGMT_SERVICOS_TOTAL;SEGMT_SERVICOS_GERAIS;SEGMT_SERVICOS_PUBLICOS;SEGMT_SERVICOS_EDUCACAO;SEGMT_SERVICOS_ENTRETENIMENTO;SEGMT_FINANCEIRO_TOTAL;SEGMT_FINANC_CREDITO_PESSOA;SEGMT_FINANC_CONSIGNADO;SEGMT_FINANC_CORPORATIVO;SEGMT_FINANC_MIDDLE_MARKET;SEGMT_FINANC_VEICULOS;SEGMT_FINANC_IMOB_EMPRESARIAL;SEGMT_FINANC_IMOB_RESIDENCIAL;SEGMT_FINANC_OUTROS;SEGMT_FACTORING_TOTAL;SEGMT_FACTORING_PESSOA;SEGMT_FACTORING_CORPORATIVO;SEGMT_SETOR_PUBLICO_TOTAL;SEGMT_PRECATORIOS;SEGMT_CREDITOS_TRIBUTARIOS;SEGMT_ROYALTIES;SEGMT_SETOR_PUBLICO_OUTROS;INADIMPLENCIA_TOTAL;INDICE_NPL_PERCENTUAL;TAXA_LIQUIDEZ_PERCENTUAL;CONCENTRACAO_CREDITO_PERCENTUAL;NOME_FUNDO;STATUS;ID_DOCUMENTO;DATA_REFERENCIA_DOC;MENSAGEM_ERRO
62576847000176.0;16695922000109,0;0,0;0,0;0,0;0,0;0,0;15637134,63;100,0;15637034,63;0,0;0,0;0,0;14865478,12;14865478,12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;672210,87;672210,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99345,64;0,0;0,0;0,0;0,0;99345,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15537688,99;0,0;104228,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4342346,25;4342346,25;0,0;0,0;0,0;11091114,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11091114,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0006395033512607162;95,0652307583285;ALMAM RESP LIMITADA FIDC NP 1;SUCESSO;1075699,0;12/2025;
60779517000152.0;40434681000110,0;0,0;0,0;0,0;0,0;0,0;3500333,93;333,93;0,0;3500000,0;3500000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,009539946950147125;0,0;ALPINE ASPEN FIDC NP 1;SUCESSO;983684,0;08/2025;
48953684000172.0;329598000167,0;0,0;0,0;0,0;0,0;0,0;16368647,93;0,0;16368647,87;0,06;0,0;0,06;16300294,47;15850294,47;0,0;0,0;450000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;68353,4;0,0;0,0;0,0;0,0;68353,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16300294,47;0,0;0,0;0,0;0,0;450000,0;0,0;15850294,47;15850294,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;450000,0;2,7606863227422416;0,0;99,58241230251691;ALVARINHO FIDC NP SÊNIOR 1;SUCESSO;695456,0;06/2024;
62348002000123.0;62264924000152,0;0,0;0,0;0,0;0,0;0,0;8820174,92;2883,06;8817291,86;0,0;0,0;0,0;8281639,71;8281639,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;535652,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8281639,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8281639,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8281639,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03268710684481527;93,89427970664327;AMAZON RESP LIMITADA FIDC NP SÊNOIR 1;SUCESSO;1062297,0;11/2025;
53193040000163.0;12063256000127,0;0,0;0,0;0,0;0,0;0,0;7232066,04;42,02;7232024,02;0,0;0,0;0,0;7232024,02;7232024,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7232024,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7232024,02;7232024,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0005810234553665664;99,99941897654463;AMBAAR FIDC NP ÚNICA 1;SUCESSO;894348,0;04/2025;
52363951000129.0;34829992000186,0;0,0;0,0;0,0;0,0;0,0;263249457,49;0,0;263043635,91;205821,58;31890,89;173930,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;263043635,91;0,0;0,0;261299623,8;0,0;1744012,11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;ARC DIP JS FIDC NP 1;SUCESSO;683601,0;05/2024;
44062556000188.0;62285390000140,0;0,0;0,0;0,0;0,0;0,0;202414094,4;0,0;202397365,14;16729,26;16729,26;0,0;202104646,07;202104646,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;202104646,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;292719,07;0,0;0,0;0,0;0,0;292719,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;202104646,07;0,0;0,0;0,0;0,0;202104646,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,84712115482013;ARES FIDC NP SÊNIOR 1;SUCESSO;615160,0;02/2024;
51114682000102.0;329598000167,0;0,0;0,0;0,0;0,0;0,0;14277489,91;67891,26;14209598,65;0,0;0,0;0,0;11518547,44;11518547,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2691051,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11518547,44;0,0;0,0;0,0;0,0;0,0;0,0;11518547,44;11518547,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,47551257558549376;80,67627792145993;ARIA RESP LIMITADA FIDC NP SUBORDINADA 1;SUCESSO;699459,0;06/2024;
54389751000170.0;33886862000112,0;0,0;0,0;0,0;0,0;0,0;7912242,52;5374,08;7438615,78;468252,66;468252,66;0,0;4152609,91;4152609,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3185567,35;3185567,35;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;52726,8;0,0;0,0;0,0;0,0;52726,8;0,0;47711,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7338177,26;0,0;0,0;0,0;0,0;0,0;0,0;7338177,26;7338177,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0679210727731839;52,48334968883134;ÁRTICO DISTRESSED MULTIESTRATÉGIA FIDC NP 1;SUCESSO;926322,0;05/2025;
35689357000103.0;34829992000186,0;0,0;0,0;0,0;0,0;0,0;150145844,24;95,25;150145748,99;0,0;0,0;0,0;150145748,99;150145748,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;150145748,99;0,0;0,0;0,0;0,0;9554170,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;140591578,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;140591578,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,343831924362024e-05;99,99993656168076;ÁSTER FIDC NP SÊNIOR 1;SUCESSO;668700,0;04/2024;
